Product_ID,Product_Name,Category,Price,Quantity_Sold,Brand,Release_Year,Ratings
181,Electric Kettle,Photography,517.22,148.0,Sony,2015,
204,VR Headset,Home Appliances,1346.66,448.0,Logitech,2015,4.9
275,Toaster,Photography,828.41,414.0,Seagate,2015,4.1
152,RAM,Smart Home,454.51,162.0,TP-Link,2015,4.0
153,Microwave,Office Supplies,286.26,12.0,Philips,2015,3.5
196,Keyboard,Wearable,1382.49,349.0,Cuisinart,2015,4.4
213,Drawing Tablet,Office Supplies,490.56,338.0,Microsoft,2015,4.4
155,Blender,Photography,880.46,98.0,Cuisinart,2015,
270,VR Headset,Wearable,1365.1,243.0,Microsoft,2015,3.9
299,Game Controller,Electronics,737.15,289.0,Dyson,2016,5.0
154,Cooling Pad,Photography,64.62,131.0,Keurig,2016,
172,Bluetooth Adapter,Electronics,325.85,171.0,Cuisinart,2016,3.7
193,Oven,Networking,1081.64,141.0,TP-Link,2016,4.2
105,External Hard Drive,Photography,1174.62,486.0,Bose,2016,
153,Router,Storage,1417.61,149.0,DJI,2016,4.7
242,Smart Light,Office Supplies,1447.61,201.0,Nikon,2016,4.8
205,Camera,Electronics,324.52,31.0,TP-Link,2016,3.9
114,Smart Light,Wearable,248.16,177.0,Samsung,2016,3.7
283,Portable Speaker,Networking,623.81,31.0,HP,2016,4.0
285,RAM,Accessories,712.03,170.0,TP-Link,2016,4.2
246,Camera,Accessories,1138.7,452.0,HP,2016,
155,Camera,Smart Home,359.61,312.0,Philips,2016,3.6
228,Mouse,Home Appliances,495.38,371.0,Philips,2017,4.0
223,Air Purifier,Accessories,1294.8,55.0,Fitbit,2017,4.1
131,Processor,Photography,112.2,466.0,Keurig,2017,
217,USB Flash Drive,Office Supplies,906.87,443.0,Logitech,2017,3.7
126,USB Flash Drive,Accessories,20.0,150.0,SanDisk,2017,4.1
163,Processor,Accessories,978.74,444.0,Samsung,2017,3.6
252,Smart Refrigerator,Electronics,1369.96,360.0,iRobot,2017,4.9
106,Drawing Tablet,Wearable,234.88,214.0,TP-Link,2017,4.2
297,Wireless Charger,Accessories,848.71,80.0,Samsung,2017,4.5
227,Toaster,Gaming,1436.18,98.0,Cuisinart,2017,4.3
265,Washing Machine,Smart Home,393.16,357.0,Bose,2017,4.5
174,Portable Speaker,Home Appliances,1234.33,289.0,Blue Yeti,2017,4.7
251,RAM,Smart Home,179.92,326.0,Ninja,2017,4.6
108,Mouse,Accessories,40.0,,HP,2017,
225,Smart Refrigerator,Electronics,1452.67,391.0,JBL,2017,4.2
160,Air Purifier,Accessories,719.11,465.0,LG,2017,
120,Smart Light,Audio,918.73,371.0,Seagate,2017,
227,Tripod,Accessories,800.72,118.0,Fitbit,2017,4.6
128,External Hard Drive,Wearable,839.11,40.0,JBL,2017,3.5
255,Gaming Console,Accessories,93.92,439.0,Seagate,2017,4.4
108,Monitor,Wearable,1050.3,248.0,Cuisinart,2018,4.4
113,Air Purifier,Storage,363.2,459.0,iRobot,2018,3.7
147,Smart Refrigerator,Home Appliances,450.0,55.0,Samsung,2018,4.3
296,Robot Vacuum,Networking,942.54,147.0,Fitbit,2018,4.9
138,Drone,Drones,300.0,30.0,DJI,2018,
245,Smart Refrigerator,Office Supplies,530.48,277.0,Canon,2018,4.8
238,Smartphone,Home Appliances,373.21,497.0,Sony,2018,3.7
214,Laptop,Gaming,535.13,232.0,Seagate,2018,4.9
131,Wireless Charger,Accessories,75.0,105.0,Belkin,2018,4.0
147,Mouse,Accessories,1139.64,108.0,DJI,2018,4.2
115,Microphone,Audio,60.0,90.0,Blue Yeti,2018,4.0
107,Keyboard,Accessories,50.0,95.0,Logitech,2018,4.0
254,Oven,Networking,573.82,368.0,Ring,2018,4.2
127,Cooling Pad,Accessories,45.0,,Cooler Master,2018,
110,Tripod,Storage,1288.45,140.0,Philips,2018,
123,Motherboard,Computer Components,200.0,100.0,ASUS,2018,4.3
271,Game Controller,Audio,842.4,401.0,Dyson,2018,3.9
193,RAM,Wearable,608.9,106.0,Blue Yeti,2019,3.9
266,E-Reader,Photography,266.87,453.0,Apple,2019,4.9
128,Tripod,Photography,100.0,90.0,Manfrotto,2019,4.5
103,Tablet,Electronics,400.0,80.0,Samsung,2019,4.3
132,Portable Speaker,Audio,220.0,65.0,Bose,2019,4.3
140,Drawing Tablet,Accessories,150.0,90.0,Wacom,2019,4.1
146,Toaster,Home Appliances,500.0,75.0,Cuisinart,2019,4.7
113,External Hard Drive,Storage,120.0,,Seagate,2019,
270,Microwave,Storage,1036.11,150.0,Nikon,2019,4.5
140,Smart Doorbell,Storage,1386.46,170.0,Breville,2019,4.4
112,Microphone,Photography,98.45,332.0,Blue Yeti,2019,4.4
121,Processor,Computer Components,300.0,65.0,Intel,2019,4.2
109,Monitor,Electronics,250.0,60.0,LG,2019,4.1
250,Smart Doorbell,Wearable,265.96,118.0,Samsung,2019,4.3
115,Smart Refrigerator,Gaming,169.8,411.0,Breville,2019,4.3
102,Bluetooth Adapter,Accessories,828.72,160.0,Apple,2019,4.6
158,Monitor,Photography,825.27,331.0,Amazon,2019,4.4
148,Washing Machine,Home Appliances,350.0,80.0,LG,2020,4.2
106,Gaming Console,Gaming,500.0,75.0,Microsoft,2020,4.8
129,Streaming Device,Streaming,120.0,50.0,Roku,2020,4.2
274,Wireless Charger,Networking,891.16,348.0,Sony,2020,4.1
134,Webcam,Accessories,90.0,55.0,Logitech,2020,4.6
151,Speaker,Networking,572.21,265.0,iRobot,2020,3.7
139,Bluetooth Adapter,Accessories,110.0,45.0,TP-Link,2020,4.0
143,Robot Vacuum,Home Appliances,100.0,95.0,iRobot,2020,4.2
286,USB Flash Drive,Audio,1012.2,117.0,HP,2020,3.9
112,Camera,Photography,700.0,40.0,Nikon,2020,4.7
279,Smart Refrigerator,Photography,957.41,270.0,LG,2020,
134,Webcam,Networking,1137.86,106.0,Apple,2020,3.7
122,RAM,Computer Components,150.0,45.0,Corsair,2020,4.0
102,Smartphone,Electronics,800.0,100.0,Apple,2020,4.7
172,Wireless Charger,Electronics,1262.85,228.0,Garmin,2020,4.9
118,Power Bank,Accessories,35.0,200.0,Anker,2020,3.9
134,USB Flash Drive,Office Supplies,540.78,456.0,Xbox,2021,4.4
129,Gaming Console,Photography,209.78,241.0,Bose,2021,
175,Microphone,Networking,1207.45,344.0,HP,2021,3.6
111,Speaker,Audio,200.0,130.0,JBL,2021,4.6
138,Drawing Tablet,Smart Home,159.28,321.0,Ring,2021,4.6
135,Smart Light,Smart Home,200.0,60.0,Philips,2021,4.2
145,Blender,Home Appliances,400.0,110.0,Ninja,2021,
252,VR Headset,Smart Home,524.19,293.0,Dyson,2021,4.3
114,Router,Networking,90.0,85.0,TP-Link,2021,4.5
105,Smartwatch,Electronics,300.0,120.0,Fitbit,2021,4.6
117,Projector,Office Supplies,850.0,30.0,Epson,2021,4.1
120,Graphics Card,Computer Components,400.0,,NVIDIA,2021,
130,E-Reader,Electronics,250.0,200.0,Amazon,2021,4.7
122,Microphone,Office Supplies,688.68,362.0,TP-Link,2021,4.3
101,Laptop,Electronics,1200.0,50.0,Dell,2021,4.5
168,External Hard Drive,Storage,1214.22,63.0,Nikon,2021,4.6
133,Toaster,Office Supplies,1035.5,319.0,Seagate,2021,3.5
193,Robot Vacuum,Storage,845.99,343.0,Fitbit,2021,4.7
141,Coffee Maker,Home Appliances,180.0,35.0,Keurig,2021,4.3
185,Motherboard,Photography,744.98,247.0,Breville,2022,3.6
181,Electric Kettle,Photography,502.38,33.0,Cuisinart,2022,3.7
104,Blender,Audio,1423.44,51.0,Apple,2022,4.0
116,Smartwatch,Wearable,235.17,477.0,Ring,2022,3.7
144,Electric Kettle,Home Appliances,120.0,,Breville,2022,4.5
168,Router,Photography,1032.09,258.0,Samsung,2022,3.6
125,Webcam,Networking,730.56,151.0,Sony,2022,4.1
282,Cooling Pad,Storage,1095.42,492.0,TP-Link,2022,3.5
132,USB Flash Drive,Audio,562.55,75.0,Ninja,2022,4.9
120,Cooling Pad,Storage,982.38,294.0,Apple,2022,4.4
220,Coffee Maker,Electronics,1294.88,441.0,Breville,2022,4.2
138,Monitor,Accessories,1439.31,386.0,Apple,2022,3.9
104,Headphones,Accessories,100.0,200.0,Sony,2022,4.2
124,SSD,Storage,180.0,70.0,Kingston,2022,4.6
258,Portable Speaker,Electronics,1208.11,100.0,DJI,2022,4.5
103,Drawing Tablet,Smart Home,1017.76,302.0,Ninja,2022,4.2
133,Game Controller,Gaming,55.0,140.0,Xbox,2022,4.1
111,External Hard Drive,Wearable,108.41,442.0,LG,2022,3.6
232,Toaster,Office Supplies,1395.42,318.0,TP-Link,2022,4.4
116,Smart TV,Electronics,1000.0,55.0,Samsung,2022,4.4
110,Printer,Office Supplies,150.0,110.0,Canon,2022,4.3
137,Fitness Band,Wearable,150.0,,Garmin,2022,4.9
125,HDD,Storage,130.0,85.0,Western Digital,2023,4.8
136,Smart Doorbell,Smart Home,180.0,70.0,Ring,2023,4.8
154,Smartphone,Wearable,1383.74,302.0,Canon,2023,4.6
299,Smart Doorbell,Smart Home,976.03,169.0,Dell,2023,4.5
164,Blender,Gaming,169.92,488.0,Garmin,2023,4.6
142,Air Purifier,Home Appliances,220.0,60.0,Dyson,2023,4.6
149,Oven,Home Appliances,320.0,100.0,Bosch,2023,4.8
204,Washing Machine,Accessories,806.92,247.0,Wacom,2023,
126,Monitor,Electronics,737.47,372.0,Apple,2023,4.8
109,Smart Light,Gaming,1062.43,436.0,Logitech,2023,
296,USB Flash Drive,Office Supplies,248.98,347.0,iRobot,2023,3.8
296,Fitness Band,Smart Home,952.35,287.0,Dyson,2023,4.0
252,Smart TV,Home Appliances,1295.23,16.0,Blue Yeti,2023,4.1
119,VR Headset,Gaming,600.0,35.0,Oculus,2023,4.9
119,Smart Doorbell,Networking,1217.54,372.0,Breville,2023,4.5
168,Smartwatch,Audio,756.07,426.0,Bose,2023,
